"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
226042,271,0,0,0,"admin","morning",0,6
226041,15,0,0,0,"admin","morning",0,7
226040,3634,0,0,0,"admin","morning",0,3
226039,190,0,0,0,"admin","morning",0,3
226036,220,1,0,0,"admin","morning",0,0
226025,404,0,0,0,"admin","morning",0,1
225998,107,0,0,0,"admin","afternoon",0,2
225997,107,0,0,0,"admin","afternoon",0,2
225988,1,0,0,0,"admin","morning",0,0
225987,1,0,0,0,"admin","morning",0,0
225984,2,0,0,0,"admin","afternoon",0,1
225982,4,0,0,0,"admin","afternoon",0,1
225980,5,0,0,0,"admin","afternoon",0,1
225975,4,0,0,0,"enterprise_admin","afternoon",0,0
225974,9,0,0,0,"enterprise_admin","afternoon",0,0
225970,1,0,0,0,"admin","morning",0,1
225959,4,0,0,1,"admin","afternoon",0,5
225954,4,0,0,1,"admin","afternoon",0,5
225952,4,1,0,1,"admin","afternoon",0,5
225949,3,0,0,1,"admin","afternoon",0,5
225937,220,1,0,0,"admin","morning",0,5
225935,1,0,0,0,"admin","morning",0,7
225934,1,0,0,0,"admin","morning",0,8
225926,2,0,0,0,"enterprise_admin","morning",0,0
225910,2,0,0,0,"enterprise_admin","afternoon",0,2
225908,9,0,0,0,"enterprise_admin","afternoon",0,2
225907,8,0,0,0,"enterprise_admin","afternoon",0,2
225906,5,0,0,0,"enterprise_admin","afternoon",0,2
225905,2,0,0,0,"enterprise_admin","afternoon",0,1
225904,4,0,0,0,"enterprise_admin","afternoon",0,4
225901,4,0,0,0,"admin","afternoon",0,6
225900,4,0,0,0,"admin","afternoon",0,5
225899,1,0,0,0,"admin","morning",0,7
225898,1,0,0,0,"admin","morning",0,7
225897,1,0,0,0,"admin","morning",0,7
225896,1,0,2,0,"admin","morning",0,1
225891,1,0,1,0,"25975f8b830814a0","morning",0,0
225799,5,1,0,0,"admin","morning",0,0
225797,3,0,0,0,"admin","morning",0,0
225792,1,0,0,0,"enterprise_admin","morning",0,0
225789,1,0,0,0,"enterprise_admin","morning",0,0
225788,1,0,0,0,"enterprise_admin","afternoon",0,0
225785,3,0,0,0,"enterprise_admin","afternoon",0,0
225782,2,0,0,0,"enterprise_admin","morning",0,0
225781,2,0,0,0,"enterprise_admin","morning",0,0
225777,1,0,0,0,"enterprise_admin","morning",0,0
225776,1,0,0,0,"admin","morning",0,0
225775,3,0,0,0,"admin","morning",0,0
225774,2,0,0,0,"enterprise_admin","morning",0,8
225772,2,0,0,0,"enterprise_admin","morning",0,8
225771,1,0,0,0,"enterprise_admin","morning",0,0
